probe,model,feature_method,threshold,precision,recall,f1,accuracy,trigger_rate_pct,true_positives,false_positives,true_negatives,false_negatives
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_logreg,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,0.3,0.8157894736842105,0.9117647058823529,0.8611111111111112,0.8830409356725146,44.44444444444444,62,14,89,6
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_logreg,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,0.4,0.8133333333333334,0.8970588235294118,0.8531468531468531,0.8771929824561403,43.859649122807014,61,14,89,7
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_logreg,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,0.5,0.8108108108108109,0.8823529411764706,0.8450704225352113,0.8713450292397661,43.27485380116959,60,14,89,8
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_logreg,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,0.6,0.8194444444444444,0.8676470588235294,0.8428571428571429,0.8713450292397661,42.10526315789473,59,13,90,9
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_logreg,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,0.7,0.8285714285714286,0.8529411764705882,0.8405797101449275,0.8713450292397661,40.93567251461988,58,12,91,10
meta-llama_Llama-3.2-3B-Instruct_TBG_logreg,meta-llama/Llama-3.2-3B-Instruct,TBG,0.3,0.42857142857142855,0.5217391304347826,0.47058823529411764,0.8421052631578947,16.374269005847953,12,16,132,11
meta-llama_Llama-3.2-3B-Instruct_TBG_logreg,meta-llama/Llama-3.2-3B-Instruct,TBG,0.4,0.4444444444444444,0.5217391304347826,0.48,0.847953216374269,15.789473684210526,12,15,133,11
meta-llama_Llama-3.2-3B-Instruct_TBG_logreg,meta-llama/Llama-3.2-3B-Instruct,TBG,0.5,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.8713450292397661,13.450292397660817,12,11,137,11
meta-llama_Llama-3.2-3B-Instruct_TBG_logreg,meta-llama/Llama-3.2-3B-Instruct,TBG,0.6,0.5,0.43478260869565216,0.46511627906976744,0.8654970760233918,11.695906432748536,10,10,138,13
meta-llama_Llama-3.2-3B-Instruct_TBG_logreg,meta-llama/Llama-3.2-3B-Instruct,TBG,0.7,0.5555555555555556,0.43478260869565216,0.4878048780487805,0.8771929824561403,10.526315789473683,10,8,140,13
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,0.3,0.9512195121951219,0.8297872340425532,0.8863636363636364,0.9415204678362573,23.976608187134502,39,2,122,8
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,0.4,0.9512195121951219,0.8297872340425532,0.8863636363636364,0.9415204678362573,23.976608187134502,39,2,122,8
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,0.5,0.95,0.8085106382978723,0.8735632183908046,0.935672514619883,23.391812865497073,38,2,122,9
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,0.6,0.95,0.8085106382978723,0.8735632183908046,0.935672514619883,23.391812865497073,38,2,122,9
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,0.7,0.9487179487179487,0.7872340425531915,0.8604651162790697,0.9298245614035088,22.807017543859647,37,2,122,10
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_logreg,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,0.3,0.9555555555555556,0.9148936170212766,0.9347826086956522,0.9649122807017544,26.31578947368421,43,2,122,4
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_logreg,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,0.4,0.9545454545454546,0.8936170212765957,0.9230769230769231,0.9590643274853801,25.730994152046783,42,2,122,5
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_logreg,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,0.5,0.9534883720930233,0.8723404255319149,0.9111111111111111,0.9532163742690059,25.146198830409354,41,2,122,6
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_logreg,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,0.6,0.9534883720930233,0.8723404255319149,0.9111111111111111,0.9532163742690059,25.146198830409354,41,2,122,6
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_logreg,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,0.7,0.9534883720930233,0.8723404255319149,0.9111111111111111,0.9532163742690059,25.146198830409354,41,2,122,6
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_logreg,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,0.3,0.835820895522388,0.8235294117647058,0.8296296296296296,0.8654970760233918,39.1812865497076,56,11,92,12
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_logreg,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,0.4,0.8484848484848485,0.8235294117647058,0.835820895522388,0.8713450292397661,38.59649122807017,56,10,93,12
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_logreg,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,0.5,0.8484848484848485,0.8235294117647058,0.835820895522388,0.8713450292397661,38.59649122807017,56,10,93,12
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_logreg,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,0.6,0.8615384615384616,0.8235294117647058,0.8421052631578947,0.8771929824561403,38.01169590643275,56,9,94,12
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_logreg,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,0.7,0.873015873015873,0.8088235294117647,0.8396946564885496,0.8771929824561403,36.84210526315789,55,8,95,13
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,0.3,0.7368421052631579,0.8936170212765957,0.8076923076923077,0.8830409356725146,33.33333333333333,42,15,109,5
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,0.4,0.7692307692307693,0.851063829787234,0.8080808080808081,0.8888888888888888,30.409356725146196,40,12,112,7
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,0.5,0.8695652173913043,0.851063829787234,0.8602150537634409,0.9239766081871345,26.900584795321635,40,6,118,7
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,0.6,0.9523809523809523,0.851063829787234,0.898876404494382,0.9473684210526315,24.561403508771928,40,2,122,7
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,0.7,0.9736842105263158,0.7872340425531915,0.8705882352941177,0.935672514619883,22.22222222222222,37,1,123,10
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,0.3,0.5370370370370371,0.8529411764705882,0.6590909090909091,0.6491228070175439,63.1578947368421,58,50,53,10
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,0.4,0.5934065934065934,0.7941176470588235,0.6792452830188679,0.7017543859649122,53.216374269005854,54,37,66,14
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,0.5,0.6351351351351351,0.6911764705882353,0.6619718309859155,0.7192982456140351,43.27485380116959,47,27,76,21
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,0.6,0.6,0.4411764705882353,0.5084745762711864,0.6608187134502924,29.239766081871345,30,20,83,38
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,0.7,0.7142857142857143,0.36764705882352944,0.4854368932038835,0.6900584795321637,20.46783625730994,25,10,93,43
meta-llama_Llama-3.2-3B-Instruct_TBG_mlp,meta-llama/Llama-3.2-3B-Instruct,TBG,0.3,0.42857142857142855,0.6521739130434783,0.5172413793103449,0.8362573099415205,20.46783625730994,15,20,128,8
meta-llama_Llama-3.2-3B-Instruct_TBG_mlp,meta-llama/Llama-3.2-3B-Instruct,TBG,0.4,0.46153846153846156,0.5217391304347826,0.4897959183673469,0.8538011695906432,15.204678362573098,12,14,134,11
meta-llama_Llama-3.2-3B-Instruct_TBG_mlp,meta-llama/Llama-3.2-3B-Instruct,TBG,0.5,0.5,0.4782608695652174,0.4888888888888889,0.8654970760233918,12.865497076023392,11,11,137,12
meta-llama_Llama-3.2-3B-Instruct_TBG_mlp,meta-llama/Llama-3.2-3B-Instruct,TBG,0.6,0.4,0.2608695652173913,0.3157894736842105,0.847953216374269,8.771929824561402,6,9,139,17
meta-llama_Llama-3.2-3B-Instruct_TBG_mlp,meta-llama/Llama-3.2-3B-Instruct,TBG,0.7,0.6,0.2608695652173913,0.36363636363636365,0.8771929824561403,5.847953216374268,6,4,144,17
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_logreg,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,0.3,0.9111111111111111,0.8723404255319149,0.8913043478260869,0.9415204678362573,26.31578947368421,41,4,120,6
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_logreg,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,0.4,0.9111111111111111,0.8723404255319149,0.8913043478260869,0.9415204678362573,26.31578947368421,41,4,120,6
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_logreg,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,0.5,0.9318181818181818,0.8723404255319149,0.9010989010989011,0.9473684210526315,25.730994152046783,41,3,121,6
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_logreg,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,0.6,0.975609756097561,0.851063829787234,0.9090909090909091,0.9532163742690059,23.976608187134502,40,1,123,7
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_logreg,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,0.7,0.975609756097561,0.851063829787234,0.9090909090909091,0.9532163742690059,23.976608187134502,40,1,123,7
meta-llama_Llama-3.2-3B-Instruct_SLT_logreg,meta-llama/Llama-3.2-3B-Instruct,SLT,0.3,0.4074074074074074,0.4782608695652174,0.44,0.8362573099415205,15.789473684210526,11,16,132,12
meta-llama_Llama-3.2-3B-Instruct_SLT_logreg,meta-llama/Llama-3.2-3B-Instruct,SLT,0.4,0.4166666666666667,0.43478260869565216,0.425531914893617,0.8421052631578947,14.035087719298245,10,14,134,13
meta-llama_Llama-3.2-3B-Instruct_SLT_logreg,meta-llama/Llama-3.2-3B-Instruct,SLT,0.5,0.45454545454545453,0.43478260869565216,0.4444444444444444,0.8538011695906432,12.865497076023392,10,12,136,13
meta-llama_Llama-3.2-3B-Instruct_SLT_logreg,meta-llama/Llama-3.2-3B-Instruct,SLT,0.6,0.45454545454545453,0.43478260869565216,0.4444444444444444,0.8538011695906432,12.865497076023392,10,12,136,13
meta-llama_Llama-3.2-3B-Instruct_SLT_logreg,meta-llama/Llama-3.2-3B-Instruct,SLT,0.7,0.47368421052631576,0.391304347826087,0.42857142857142855,0.8596491228070176,11.11111111111111,9,10,138,14
meta-llama_Llama-3.2-3B-Instruct_SLT_mlp,meta-llama/Llama-3.2-3B-Instruct,SLT,0.3,0.4482758620689655,0.5652173913043478,0.5,0.847953216374269,16.95906432748538,13,16,132,10
meta-llama_Llama-3.2-3B-Instruct_SLT_mlp,meta-llama/Llama-3.2-3B-Instruct,SLT,0.4,0.4166666666666667,0.43478260869565216,0.425531914893617,0.8421052631578947,14.035087719298245,10,14,134,13
meta-llama_Llama-3.2-3B-Instruct_SLT_mlp,meta-llama/Llama-3.2-3B-Instruct,SLT,0.5,0.47619047619047616,0.43478260869565216,0.45454545454545453,0.8596491228070176,12.280701754385964,10,11,137,13
meta-llama_Llama-3.2-3B-Instruct_SLT_mlp,meta-llama/Llama-3.2-3B-Instruct,SLT,0.6,0.7142857142857143,0.43478260869565216,0.5405405405405406,0.9005847953216374,8.187134502923977,10,4,144,13
meta-llama_Llama-3.2-3B-Instruct_SLT_mlp,meta-llama/Llama-3.2-3B-Instruct,SLT,0.7,0.75,0.391304347826087,0.5142857142857142,0.9005847953216374,7.017543859649122,9,3,145,14
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,0.3,0.7916666666666666,0.8382352941176471,0.8142857142857143,0.847953216374269,42.10526315789473,57,15,88,11
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,0.4,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8596491228070176,39.76608187134503,56,12,91,12
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,0.5,0.8333333333333334,0.8088235294117647,0.8208955223880597,0.8596491228070176,38.59649122807017,55,11,92,13
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,0.6,0.859375,0.8088235294117647,0.8333333333333334,0.8713450292397661,37.42690058479532,55,9,94,13
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,0.7,0.8571428571428571,0.7941176470588235,0.8244274809160306,0.8654970760233918,36.84210526315789,54,9,94,14
