task_id,semantic_entropy,pass_at_1,prompt_len,SLT,TBG
HumanEval/0,1.0277903718263244,0,174,"[-1.640625    1.84375    -4.09375    ...  0.21484375  0.31835938
  0.546875  ]","[ 0.1640625   1.2421875  -0.75390625 ... -0.30273438 -0.19140625
 -0.60546875]"
HumanEval/1,1.5724151899397107,1,176,"[-0.5234375   0.31640625 -1.234375   ...  0.30859375 -0.26953125
 -0.29492188]","[ 0.203125    0.52734375 -1.53125    ... -0.27539062 -0.06982422
 -0.48632812]"
HumanEval/2,2.660102166462049,1,134,"[ 1.1875      0.73046875 -0.5625     ...  0.12158203 -0.30664062
 -0.55078125]","[ 0.6171875   0.109375   -1.125      ... -0.25585938 -0.17480469
 -0.59765625]"
HumanEval/3,1.3012765858150952,1,167,"[ 0.69140625  0.34179688 -0.93359375 ...  0.14746094 -0.23925781
 -0.48242188]","[-0.01953125  1.796875   -0.62109375 ... -0.3515625  -0.1328125
 -0.44921875]"
HumanEval/4,1.492159825363357,1,173,"[ 1.484375    0.30078125 -0.609375   ... -0.06347656 -0.30273438
 -0.67578125]","[ 1.          0.84375    -0.13671875 ... -0.13867188 -0.03027344
 -0.6953125 ]"
HumanEval/5,0.6781110187814107,1,148,"[ 0.36914062  0.671875   -2.09375    ...  0.20996094 -0.19335938
 -0.34960938]","[ 0.30078125  1.703125   -0.92578125 ... -0.359375   -0.22558594
 -0.4921875 ]"
HumanEval/6,0.8909680513644764,1,173,"[-0.859375    0.51953125 -0.890625   ...  0.3984375  -0.19335938
 -0.33398438]","[ 0.3359375   0.57421875 -1.1953125  ... -0.34375    -0.12060547
 -0.44921875]"
HumanEval/7,1.5284709151311227,1,149,"[-0.12890625  0.01953125 -0.95703125 ...  0.07910156 -0.28710938
 -0.58984375]","[-0.0078125   0.7265625  -1.8125     ... -0.29101562 -0.07617188
 -0.640625  ]"
HumanEval/8,1.5198626462618372,1,168,"[ 0.74609375  0.90625    -1.4765625  ...  0.27539062 -0.140625
 -0.33398438]","[-0.40234375  1.671875   -0.17382812 ... -0.11669922 -0.19824219
 -0.45507812]"
HumanEval/9,0.601726203094221,0,148,"[-0.2890625   0.765625   -0.46484375 ...  0.42382812 -0.09130859
 -0.31054688]","[-0.90625     1.828125   -1.109375   ... -0.25585938 -0.12451172
 -0.40429688]"
HumanEval/10,1.5357656430053563,0,218,"[ 0.84765625 -0.375       0.80078125 ...  0.31054688  0.20507812
 -0.59375   ]","[ 1.4375      0.8359375  -1.078125   ... -0.26367188 -0.17578125
 -0.42578125]"
HumanEval/11,1.34734150946172,1,131,"[ 1.4921875   0.38476562 -0.42578125 ...  0.12304688 -0.37304688
 -0.59375   ]","[ 1.59375     1.3671875  -1.5625     ... -0.05322266 -0.07861328
 -0.5625    ]"
HumanEval/12,0.42858285981213906,1,151,"[ 0.68359375  0.30859375 -1.234375   ...  0.4765625  -0.15039062
 -0.3671875 ]","[ 0.828125    1.2421875  -1.828125   ... -0.29492188 -0.27539062
 -0.45117188]"
HumanEval/13,0.47424014463346953,1,118,"[ 0.90625     0.50390625 -0.91796875 ...  0.28125    -0.17871094
 -0.41015625]","[ 0.15625     0.46484375 -1.8203125  ... -0.34179688 -0.38671875
 -0.64453125]"
HumanEval/14,0.8879511083050716,1,105,"[ 9.3750000e-02  1.2031250e+00 -7.5000000e-01 ... -2.2029877e-04
 -4.1210938e-01 -4.5117188e-01]","[ 0.41796875  1.0078125  -1.109375   ... -0.28710938 -0.18945312
 -0.48242188]"
HumanEval/15,0.19341098710368693,1,118,"[ 0.57421875  0.51953125 -1.4140625  ...  0.36132812 -0.10888672
 -0.43554688]","[ 1.375       0.640625   -1.5        ... -0.20898438 -0.234375
 -0.546875  ]"
HumanEval/16,1.13231126470187,1,121,"[-0.1015625   0.75       -1.1015625  ...  0.35546875 -0.17578125
 -0.48632812]","[-0.0546875  -0.00585938 -1.1484375  ...  0.02416992 -0.21875
 -0.68359375]"
HumanEval/17,-0.0,1,231,"[-0.3828125   0.61328125 -0.9609375  ...  0.35742188 -0.13183594
 -0.31835938]","[ 1.2968750e+00  3.3593750e-01 -2.7343750e+00 ... -2.4707031e-01
 -1.7700195e-03 -5.0781250e-01]"
HumanEval/18,0.9398741360765708,1,140,"[ 0.90625     0.359375   -1.328125   ...  0.33789062 -0.08056641
 -0.35546875]","[ 0.8984375   0.4140625  -1.5        ... -0.22851562 -0.20605469
 -0.546875  ]"
HumanEval/19,1.4186275548627858,1,158,"[ 0.77734375  0.671875    0.0234375  ...  0.16992188 -0.15917969
 -0.4921875 ]","[ 1.34375     0.46679688 -2.640625   ... -0.1875     -0.0546875
 -0.48632812]"
HumanEval/20,1.8709170709951592,0,221,"[-2.53125     0.69140625 -2.15625    ... -0.25195312  0.2265625
 -0.08251953]","[-0.08984375  1.328125   -0.42773438 ... -0.25195312 -0.22558594
 -0.54296875]"
