probe,model,feature_method,threshold,precision,recall,f1,accuracy,trigger_rate
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_linreg,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,-0.0029179655015468494,0.5098039215686274,0.8125,0.6265060240963856,0.515625,0.796875
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_linreg,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,-5.746260285377504e-08,0.4878048780487805,0.625,0.547945205479452,0.484375,0.640625
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_linreg,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,7.35744833946228e-08,0.5,0.5,0.5,0.5,0.5
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_linreg,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,0.0031121133826673094,0.5217391304347826,0.375,0.43636363636363634,0.515625,0.359375
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_linreg,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,0.04185017421841632,0.6153846153846154,0.25,0.35555555555555557,0.546875,0.203125
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_linreg,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,-0.031077463179826726,0.5098039215686274,0.8125,0.6265060240963856,0.515625,0.796875
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_linreg,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,-1.6661360859870916e-07,0.5365853658536586,0.6875,0.6027397260273972,0.546875,0.640625
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_linreg,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,-3.725290298461914e-09,0.53125,0.53125,0.53125,0.53125,0.5
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_linreg,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,1.4156103134155273e-07,0.4583333333333333,0.34375,0.39285714285714285,0.46875,0.375
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_linreg,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,0.026060290634632118,0.6153846153846154,0.25,0.35555555555555557,0.546875,0.203125
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_linreg,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,0.8403302907943726,0.6078431372549019,0.96875,0.7469879518072288,0.671875,0.796875
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_linreg,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,1.021188896894455,0.7317073170731707,0.9375,0.821917808219178,0.796875,0.640625
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_linreg,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,1.296671450138092,0.71875,0.71875,0.71875,0.71875,0.5
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_linreg,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,1.580882012844086,0.7391304347826086,0.53125,0.6181818181818182,0.671875,0.359375
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_linreg,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,1.9446636199951175,1.0,0.40625,0.5777777777777777,0.703125,0.203125
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_linreg,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,1.0403223991394044,0.5686274509803921,0.90625,0.6987951807228915,0.609375,0.796875
