task_id,semantic_entropy,pass_at_1,prompt_len,SLT,TBG
HumanEval/0,0.6722551532176433,1,179,"[-0.37304688  1.3046875  -0.58203125 ...  1.265625   -1.7578125
 -0.6484375 ]","[-0.29296875  1.015625    0.20410156 ... -0.74609375  1.375
  0.5390625 ]"
HumanEval/1,-0.0,0,170,"[-0.37109375  1.21875    -0.5        ...  1.2265625  -1.5703125
 -0.5546875 ]","[-0.33007812  1.15625     0.10449219 ... -0.83203125  0.7265625
  1.3046875 ]"
HumanEval/2,-0.0,1,140,"[-0.48632812  1.2421875  -0.32226562 ...  2.375      -1.515625
 -1.375     ]","[-0.46679688  1.2421875   0.09375    ...  0.02148438  0.24707031
  0.30664062]"
HumanEval/3,-0.0,1,174,"[-0.32617188  1.296875   -0.60546875 ...  1.640625   -1.828125
 -1.078125  ]","[-0.37304688  1.1875      0.23339844 ... -0.43359375  1.359375
  0.46289062]"
HumanEval/4,-0.0,1,172,"[-0.3046875   1.140625   -0.46484375 ...  1.5390625  -1.6328125
 -0.78515625]","[-0.17773438  1.171875    0.12792969 ... -0.83203125  0.97265625
  1.        ]"
HumanEval/5,0.8281368574081869,1,147,"[-0.1875      0.95703125 -0.48046875 ...  1.4375     -1.3359375
 -0.8359375 ]","[-0.40429688  1.2109375   0.26367188 ...  0.046875    1.0625
  1.1328125 ]"
HumanEval/6,0.6979781406455972,1,167,"[ 0.44921875  0.8984375   0.33007812 ... -2.140625   -0.41210938
  1.4921875 ]","[-0.33203125  1.140625    0.09912109 ... -0.625       1.0625
  0.6796875 ]"
HumanEval/7,-0.0,1,148,"[-0.359375    1.078125   -0.30664062 ...  1.5625     -2.09375
 -1.234375  ]","[-0.33984375  1.234375    0.26757812 ... -0.3671875   0.67578125
  1.0390625 ]"
HumanEval/8,0.8092124397047806,1,165,"[-0.10058594  0.96484375 -0.6640625  ...  1.25       -1.078125
 -0.67578125]","[-0.42773438  1.2421875   0.09863281 ... -1.8515625   0.09863281
  1.140625  ]"
HumanEval/9,1.0770284908341679,1,155,"[-0.0546875   1.21875    -0.58984375 ...  1.34375    -1.359375
 -0.75      ]","[-0.4921875   1.2421875   0.1875     ... -0.19824219  0.22558594
  0.60546875]"
HumanEval/10,0.7776296857472571,0,197,"[-0.18652344  0.9765625  -0.6796875  ...  0.5859375   0.02893066
 -1.1328125 ]","[-0.640625    1.1796875   0.06103516 ... -1.9296875   0.4140625
  1.4609375 ]"
HumanEval/11,-0.0,1,131,"[-0.26953125  1.0703125  -0.17675781 ...  1.3125     -1.6640625
 -1.453125  ]","[-0.40820312  1.3828125   0.2890625  ... -0.58203125  0.26953125
  0.26367188]"
HumanEval/12,0.5607041126296227,0,157,"[-0.28125     0.99609375 -0.48046875 ...  1.015625   -1.8125
 -1.7890625 ]","[-0.2890625   1.3515625   0.15722656 ... -1.1328125   0.43359375
  0.24804688]"
HumanEval/13,-0.0,1,125,"[-0.49414062  1.078125   -0.17578125 ...  1.6171875  -1.6484375
 -0.625     ]","[-0.16699219  1.21875    -0.01367188 ... -0.71875     0.19335938
 -0.02941895]"
HumanEval/14,-0.0,1,114,"[-0.19921875  1.0078125  -0.5546875  ...  1.484375   -1.5
 -1.03125   ]","[-0.42578125  1.203125    0.27148438 ... -0.7734375   1.4921875
  0.57421875]"
HumanEval/15,-0.0,0,123,"[-0.35351562  1.1875     -0.26757812 ...  1.8046875  -1.7890625
 -1.4765625 ]","[-0.31835938  1.390625    0.19921875 ...  0.12255859 -0.25390625
  0.5625    ]"
HumanEval/16,-0.0,1,125,"[-0.34765625  1.140625   -0.41015625 ...  1.625      -1.5859375
 -1.8515625 ]","[-0.28515625  1.109375    0.08837891 ... -0.375       0.74609375
  0.17285156]"
