model_id,model_family,feature_method,classifier,test_accuracy,test_auc,feature_dim,n_train,n_val,n_test,recommended_threshold,probe_path
Qwen/Qwen2.5-Coder-3B-Instruct,qwen-coder-instruct,SLT,logreg,0.8596491228070176,0.870094476744186,6144,798,171,171,0.0029991288403895576,/home/ubuntu/Self-Correcting-Code-Generation-in-IDEs-via-Uncertainty-Estimation/Dataset+Probes/saved_probes/bigcodebench/Qwen_Qwen2.5-Coder-3B-Instruct_SLT_logreg
Qwen/Qwen2.5-Coder-3B-Instruct,qwen-coder-instruct,SLT,mlp,0.8421052631578947,0.9256904069767442,6144,798,171,171,0.0865093246102333,/home/ubuntu/Self-Correcting-Code-Generation-in-IDEs-via-Uncertainty-Estimation/Dataset+Probes/saved_probes/bigcodebench/Qwen_Qwen2.5-Coder-3B-Instruct_SLT_mlp
Qwen/Qwen2.5-Coder-3B-Instruct,qwen-coder-instruct,TBG,mlp,0.8187134502923976,0.8839026162790697,6144,798,171,171,0.0005166104238014668,/home/ubuntu/Self-Correcting-Code-Generation-in-IDEs-via-Uncertainty-Estimation/Dataset+Probes/saved_probes/bigcodebench/Qwen_Qwen2.5-Coder-3B-Instruct_TBG_mlp
Qwen/Qwen2.5-Coder-3B-Instruct,qwen-coder-instruct,TBG,logreg,0.7719298245614035,0.8268531976744187,6144,798,171,171,0.001373287716044687,/home/ubuntu/Self-Correcting-Code-Generation-in-IDEs-via-Uncertainty-Estimation/Dataset+Probes/saved_probes/bigcodebench/Qwen_Qwen2.5-Coder-3B-Instruct_TBG_logreg
deepseek-ai/deepseek-coder-1.3b-instruct,deepseek,TBG,mlp,0.7426900584795322,0.798574224210232,6144,798,171,171,0.3941378742456436,/home/ubuntu/Self-Correcting-Code-Generation-in-IDEs-via-Uncertainty-Estimation/Dataset+Probes/saved_probes/bigcodebench/deepseek-ai_deepseek-coder-1.3b-instruct_TBG_mlp
deepseek-ai/deepseek-coder-1.3b-instruct,deepseek,SLT,mlp,0.7017543859649122,0.7458764327648868,6144,798,171,171,0.20932091027498245,/home/ubuntu/Self-Correcting-Code-Generation-in-IDEs-via-Uncertainty-Estimation/Dataset+Probes/saved_probes/bigcodebench/deepseek-ai_deepseek-coder-1.3b-instruct_SLT_mlp
deepseek-ai/deepseek-coder-1.3b-instruct,deepseek,TBG,logreg,0.7017543859649122,0.7630696114062063,6144,798,171,171,0.06997297275387887,/home/ubuntu/Self-Correcting-Code-Generation-in-IDEs-via-Uncertainty-Estimation/Dataset+Probes/saved_probes/bigcodebench/deepseek-ai_deepseek-coder-1.3b-instruct_TBG_logreg
deepseek-ai/deepseek-coder-1.3b-instruct,deepseek,SLT,logreg,0.6198830409356725,0.6611685770198491,6144,798,171,171,0.14029870602061892,/home/ubuntu/Self-Correcting-Code-Generation-in-IDEs-via-Uncertainty-Estimation/Dataset+Probes/saved_probes/bigcodebench/deepseek-ai_deepseek-coder-1.3b-instruct_SLT_logreg
meta-llama/Llama-3.2-3B-Instruct,llama,SLT,logreg,0.9239766081871345,0.9383078730904817,9216,798,171,171,0.00018072014821118604,/home/ubuntu/Self-Correcting-Code-Generation-in-IDEs-via-Uncertainty-Estimation/Dataset+Probes/saved_probes/bigcodebench/meta-llama_Llama-3.2-3B-Instruct_SLT_logreg
meta-llama/Llama-3.2-3B-Instruct,llama,SLT,mlp,0.9064327485380117,0.9256756756756758,9216,798,171,171,0.01125675905495882,/home/ubuntu/Self-Correcting-Code-Generation-in-IDEs-via-Uncertainty-Estimation/Dataset+Probes/saved_probes/bigcodebench/meta-llama_Llama-3.2-3B-Instruct_SLT_mlp
meta-llama/Llama-3.2-3B-Instruct,llama,TBG,logreg,0.8421052631578947,0.8578143360752056,9216,798,171,171,0.0001581930935098275,/home/ubuntu/Self-Correcting-Code-Generation-in-IDEs-via-Uncertainty-Estimation/Dataset+Probes/saved_probes/bigcodebench/meta-llama_Llama-3.2-3B-Instruct_TBG_logreg
meta-llama/Llama-3.2-3B-Instruct,llama,TBG,mlp,0.8362573099415205,0.8613396004700352,9216,798,171,171,0.000754305423470214,/home/ubuntu/Self-Correcting-Code-Generation-in-IDEs-via-Uncertainty-Estimation/Dataset+Probes/saved_probes/bigcodebench/meta-llama_Llama-3.2-3B-Instruct_TBG_mlp
