probe,model,feature_method,best_threshold,best_f1,best_precision,best_recall,best_accuracy,best_trigger_rate_pct,current_recommended
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_logreg,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,0.3,0.8611111111111112,0.8157894736842105,0.9117647058823529,0.8830409356725146,44.44444444444444,0.14029870602061892
meta-llama_Llama-3.2-3B-Instruct_TBG_logreg,meta-llama/Llama-3.2-3B-Instruct,TBG,0.5,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.8713450292397661,13.450292397660817,0.0001581930935098275
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,0.3,0.8863636363636364,0.9512195121951219,0.8297872340425532,0.9415204678362573,23.976608187134502,0.0005166104238014668
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_logreg,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,0.3,0.9347826086956522,0.9555555555555556,0.9148936170212766,0.9649122807017544,26.31578947368421,0.0029991288403895576
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_logreg,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,0.6,0.8421052631578947,0.8615384615384616,0.8235294117647058,0.8771929824561403,38.01169590643275,0.06997297275387887
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,0.6,0.898876404494382,0.9523809523809523,0.851063829787234,0.9473684210526315,24.561403508771928,0.0865093246102333
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,0.4,0.6792452830188679,0.5934065934065934,0.7941176470588235,0.7017543859649122,53.216374269005854,0.3941378742456436
meta-llama_Llama-3.2-3B-Instruct_TBG_mlp,meta-llama/Llama-3.2-3B-Instruct,TBG,0.3,0.5172413793103449,0.42857142857142855,0.6521739130434783,0.8362573099415205,20.46783625730994,0.000754305423470214
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_logreg,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,0.6,0.9090909090909091,0.975609756097561,0.851063829787234,0.9532163742690059,23.976608187134502,0.001373287716044687
meta-llama_Llama-3.2-3B-Instruct_SLT_logreg,meta-llama/Llama-3.2-3B-Instruct,SLT,0.5,0.4444444444444444,0.45454545454545453,0.43478260869565216,0.8538011695906432,12.865497076023392,0.00018072014821118604
meta-llama_Llama-3.2-3B-Instruct_SLT_mlp,meta-llama/Llama-3.2-3B-Instruct,SLT,0.6,0.5405405405405406,0.7142857142857143,0.43478260869565216,0.9005847953216374,8.187134502923977,0.01125675905495882
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,0.6,0.8333333333333334,0.859375,0.8088235294117647,0.8713450292397661,37.42690058479532,0.20932091027498245
