probe,model,feature_method,threshold,precision,recall,f1,accuracy,trigger_rate
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,0.3,0.7058823529411765,1.0,0.8275862068965517,0.8,0.68
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,0.4,0.75,1.0,0.8571428571428571,0.84,0.64
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,0.5,0.8571428571428571,1.0,0.923076923076923,0.92,0.56
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,0.6,0.8571428571428571,1.0,0.923076923076923,0.92,0.56
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,0.7,0.9230769230769231,1.0,0.9600000000000001,0.96,0.52
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,0.3,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.84,0.56
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,0.4,0.7692307692307693,0.8333333333333334,0.8,0.8,0.52
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,0.5,0.7692307692307693,0.8333333333333334,0.8,0.8,0.52
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,0.6,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.72,0.44
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,0.7,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.72,0.44
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,0.3,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.84,0.56
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,0.4,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.88,0.52
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,0.5,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.92,0.48
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,0.6,1.0,0.75,0.8571428571428571,0.88,0.36
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,0.7,1.0,0.5833333333333334,0.7368421052631579,0.8,0.28
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,0.3,0.8181818181818182,0.75,0.7826086956521738,0.8,0.44
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,0.4,0.8181818181818182,0.75,0.7826086956521738,0.8,0.44
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,0.5,0.8,0.6666666666666666,0.7272727272727272,0.76,0.4
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,0.6,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.72,0.36
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,0.7,0.75,0.5,0.6,0.68,0.32
meta-llama_Llama-3.2-3B-Instruct_SLT_mlp,meta-llama/Llama-3.2-3B-Instruct,SLT,0.3,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.6,0.72
meta-llama_Llama-3.2-3B-Instruct_SLT_mlp,meta-llama/Llama-3.2-3B-Instruct,SLT,0.4,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.6,0.72
meta-llama_Llama-3.2-3B-Instruct_SLT_mlp,meta-llama/Llama-3.2-3B-Instruct,SLT,0.5,0.5882352941176471,0.8333333333333334,0.6896551724137931,0.64,0.68
meta-llama_Llama-3.2-3B-Instruct_SLT_mlp,meta-llama/Llama-3.2-3B-Instruct,SLT,0.6,0.5882352941176471,0.8333333333333334,0.6896551724137931,0.64,0.68
meta-llama_Llama-3.2-3B-Instruct_SLT_mlp,meta-llama/Llama-3.2-3B-Instruct,SLT,0.7,0.5882352941176471,0.8333333333333334,0.6896551724137931,0.64,0.68
meta-llama_Llama-3.2-3B-Instruct_TBG_mlp,meta-llama/Llama-3.2-3B-Instruct,TBG,0.3,0.5789473684210527,0.9166666666666666,0.7096774193548387,0.64,0.76
meta-llama_Llama-3.2-3B-Instruct_TBG_mlp,meta-llama/Llama-3.2-3B-Instruct,TBG,0.4,0.6111111111111112,0.9166666666666666,0.7333333333333334,0.68,0.72
meta-llama_Llama-3.2-3B-Instruct_TBG_mlp,meta-llama/Llama-3.2-3B-Instruct,TBG,0.5,0.6111111111111112,0.9166666666666666,0.7333333333333334,0.68,0.72
meta-llama_Llama-3.2-3B-Instruct_TBG_mlp,meta-llama/Llama-3.2-3B-Instruct,TBG,0.6,0.6470588235294118,0.9166666666666666,0.7586206896551724,0.72,0.68
meta-llama_Llama-3.2-3B-Instruct_TBG_mlp,meta-llama/Llama-3.2-3B-Instruct,TBG,0.7,0.6875,0.9166666666666666,0.7857142857142857,0.76,0.64
