task_id,semantic_entropy,pass_at_1,prompt_len,SLT,TBG
HumanEval/0,-0.0,1,156,[ 5.5        0.1953125 -2.765625  ... -1.5078125 -1.3046875 -3.609375 ],[ 1.8828125  0.1484375 -8.5       ...  1.7890625  2.        -0.75     ]
HumanEval/1,0.4157226047287951,1,147,[ 5.5625     1.1875    -2.78125   ... -1.15625   -1.3046875 -3.28125  ],[ 1.671875   0.3671875 -7.3125    ...  2.09375    1.6875    -0.609375 ]
HumanEval/2,-0.0,1,117,[ 5.46875   0.046875 -3.953125 ... -1.40625  -1.328125 -3.4375  ],"[ 1.9375      0.65234375 -4.4375     ...  1.453125    1.15625
 -0.90234375]"
HumanEval/3,-0.0,1,151,[ 5.5625    0.0625   -3.453125 ... -1.296875 -1.28125  -3.40625 ],"[ 2.1875      0.36328125 -8.125      ...  1.7890625   2.125
 -1.265625  ]"
HumanEval/4,0.19025660044634746,1,149,[ 5.28125    0.4296875 -2.8125    ... -1.3125    -1.484375  -3.390625 ],"[ 2.296875    0.28125    -8.3125     ...  1.921875    2.25
 -0.30664062]"
HumanEval/5,-0.0,1,124,[ 5.28125   -0.1484375 -3.515625  ... -1.375     -1.609375  -3.21875  ],"[ 1.8046875   1.4453125  -7.5        ...  1.71875     1.9453125
 -0.59765625]"
HumanEval/6,0.497895867865272,1,144,"[ 4.78125     0.1484375  -3.671875   ... -0.94140625 -1.421875
 -3.0625    ]",[ 1.171875   0.421875  -7.15625   ...  1.9375     2.09375   -0.6328125]
HumanEval/7,-0.0,1,125,[ 5.25      -0.453125  -3.96875   ... -1.4296875 -1.7734375 -3.515625 ],"[ 3.375       1.8125     -8.0625     ...  1.5546875   1.9453125
 -0.97265625]"
HumanEval/8,0.5058406270544692,1,144,[ 4.875      0.15625   -3.28125   ... -1.3984375 -1.6953125 -3.40625  ],"[ 2.90625     1.09375    -7.53125    ...  2.125       2.03125
 -0.58203125]"
HumanEval/9,0.19556163271609384,1,132,[ 5.09375   -0.1796875 -3.5       ... -1.3359375 -1.5234375 -3.109375 ],"[ 1.734375    0.21875    -8.125      ...  1.8671875   2.5
 -0.41992188]"
