model_id,task_id,semantic_entropy,num_clusters,pass_at_1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/2,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/3,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/4,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/6,1.0690194622633737,4,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/7,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/9,1.3358562770025204,5,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/10,1.1120192252669474,5,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/11,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/13,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/14,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/15,-0.0,1,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/16,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/17,0.99100327905619,4,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/18,1.1156963143929295,4,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/20,0.820390940191151,4,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/22,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/23,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/26,-0.0,1,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/27,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/28,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/29,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/30,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/31,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/32,0.9359833106161638,3,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/34,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/35,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/37,-0.0,1,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/39,0.8213439329817608,3,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/41,-0.0,1,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/42,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/43,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/45,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/46,1.0680815183743992,4,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/47,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/48,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/49,1.0675560866517122,4,1
