probe,model,feature_method,threshold,precision,recall,f1,accuracy,trigger_rate_pct,true_positives,false_positives,true_negatives,false_negatives
meta-llama_Llama-3.2-3B-Instruct_SLT_mlp,meta-llama/Llama-3.2-3B-Instruct,SLT,0.3,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.6,72.0,10,8,5,2
meta-llama_Llama-3.2-3B-Instruct_SLT_mlp,meta-llama/Llama-3.2-3B-Instruct,SLT,0.4,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.6,72.0,10,8,5,2
meta-llama_Llama-3.2-3B-Instruct_SLT_mlp,meta-llama/Llama-3.2-3B-Instruct,SLT,0.5,0.5882352941176471,0.8333333333333334,0.6896551724137931,0.64,68.0,10,7,6,2
meta-llama_Llama-3.2-3B-Instruct_SLT_mlp,meta-llama/Llama-3.2-3B-Instruct,SLT,0.6,0.5882352941176471,0.8333333333333334,0.6896551724137931,0.64,68.0,10,7,6,2
meta-llama_Llama-3.2-3B-Instruct_SLT_mlp,meta-llama/Llama-3.2-3B-Instruct,SLT,0.7,0.5882352941176471,0.8333333333333334,0.6896551724137931,0.64,68.0,10,7,6,2
meta-llama_Llama-3.2-3B-Instruct_TBG_mlp,meta-llama/Llama-3.2-3B-Instruct,TBG,0.3,0.5789473684210527,0.9166666666666666,0.7096774193548387,0.64,76.0,11,8,5,1
meta-llama_Llama-3.2-3B-Instruct_TBG_mlp,meta-llama/Llama-3.2-3B-Instruct,TBG,0.4,0.6111111111111112,0.9166666666666666,0.7333333333333334,0.68,72.0,11,7,6,1
meta-llama_Llama-3.2-3B-Instruct_TBG_mlp,meta-llama/Llama-3.2-3B-Instruct,TBG,0.5,0.6111111111111112,0.9166666666666666,0.7333333333333334,0.68,72.0,11,7,6,1
meta-llama_Llama-3.2-3B-Instruct_TBG_mlp,meta-llama/Llama-3.2-3B-Instruct,TBG,0.6,0.6470588235294118,0.9166666666666666,0.7586206896551724,0.72,68.0,11,6,7,1
meta-llama_Llama-3.2-3B-Instruct_TBG_mlp,meta-llama/Llama-3.2-3B-Instruct,TBG,0.7,0.6875,0.9166666666666666,0.7857142857142857,0.76,64.0,11,5,8,1
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,0.3,0.7058823529411765,1.0,0.8275862068965517,0.8,68.0,12,5,8,0
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,0.4,0.75,1.0,0.8571428571428571,0.84,64.0,12,4,9,0
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,0.5,0.8571428571428571,1.0,0.923076923076923,0.92,56.00000000000001,12,2,11,0
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,0.6,0.8571428571428571,1.0,0.923076923076923,0.92,56.00000000000001,12,2,11,0
Qwen_Qwen2.5-Coder-3B-Instruct_SLT_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,SLT,0.7,0.9230769230769231,1.0,0.9600000000000001,0.96,52.0,12,1,12,0
